Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
  4603,  7.5406e+03, -6.0654894956775904e-03, -1.7086088342660199e-03,  5.2120378921694195e-02,  1.6865650753233332e-03, -9.5730174708527681e-04, -3.1569409325700321e-03,  3.8676288583610752e-01,  3.3422510612007190e-03
  4604,  7.5406e+03, -6.0654894956775904e-03, -1.7086088342660199e-03,  5.2120378921694195e-02,  1.6864650753233331e-03, -9.5720174708527686e-04, -3.1569409325700321e-03,  3.8676288583610752e-01,  3.3422510612007190e-03
  4605,  7.5406e+03, -6.0654894956775904e-03, -1.7086088342660199e-03,  5.2120378921694195e-02,  1.6864650753233331e-03, -9.5730174708527681e-04, -3.1568409325700322e-03,  3.8676288583610752e-01,  3.3422510612007190e-03
  4606,  7.5406e+03, -6.0654894956775904e-03, -1.7086088342660199e-03,  5.2120378921694195e-02,  1.6864650753233331e-03, -9.5730174708527681e-04, -3.1569409325700321e-03,  3.8676298583610752e-01,  3.3422510612007190e-03
  4607,  7.5406e+03, -6.0654894956775904e-03, -1.7086088342660199e-03,  5.2120378921694195e-02,  1.6864650753233331e-03, -9.5730174708527681e-04, -3.1569409325700321e-03,  3.8676288583610752e-01,  3.3423510612007189e-03
  4608,  7.5423e+03, -6.0213698203715298e-03, -1.6775360803979497e-03,  5.2104513141687195e-02,  1.6570383234568587e-03, -9.6593651902316996e-04, -3.1434592702994789e-03,  3.8689790328615303e-01,  3.3153901987938062e-03
  4609,  7.5423e+03, -6.0212698203715295e-03, -1.6775360803979497e-03,  5.2104513141687195e-02,  1.6570383234568587e-03, -9.6593651902316996e-04, -3.1434592702994789e-03,  3.8689790328615303e-01,  3.3153901987938062e-03
  4610,  7.5423e+03, -6.0213698203715298e-03, -1.6774360803979496e-03,  5.2104513141687195e-02,  1.6570383234568587e-03, -9.6593651902316996e-04, -3.1434592702994789e-03,  3.8689790328615303e-01,  3.3153901987938062e-03
  4611,  7.5423e+03, -6.0213698203715298e-03, -1.6775360803979497e-03,  5.2104613141687198e-02,  1.6570383234568587e-03, -9.6593651902316996e-04, -3.1434592702994789e-03,  3.8689790328615303e-01,  3.3153901987938062e-03
  4612,  7.5423e+03, -6.0213698203715298e-03, -1.6775360803979497e-03,  5.2104513141687195e-02,  1.6571383234568588e-03, -9.6593651902316996e-04, -3.1434592702994789e-03,  3.8689790328615303e-01,  3.3153901987938062e-03
  4613,  7.5423e+03, -6.0213698203715298e-03, -1.6775360803979497e-03,  5.2104513141687195e-02,  1.6570383234568587e-03, -9.6583651902317001e-04, -3.1434592702994789e-03,  3.8689790328615303e-01,  3.3153901987938062e-03
  4614,  7.5423e+03, -6.0213698203715298e-03, -1.6775360803979497e-03,  5.2104513141687195e-02,  1.6570383234568587e-03, -9.6593651902316996e-04, -3.1433592702994791e-03,  3.8689790328615303e-01,  3.3153901987938062e-03
  4615,  7.5423e+03, -6.0213698203715298e-03, -1.6775360803979497e-03,  5.2104513141687195e-02,  1.6570383234568587e-03, -9.6593651902316996e-04, -3.1434592702994789e-03,  3.8689800328615304e-01,  3.3153901987938062e-03
  4616,  7.5423e+03, -6.0213698203715298e-03, -1.6775360803979497e-03,  5.2104513141687195e-02,  1.6570383234568587e-03, -9.6593651902316996e-04, -3.1434592702994789e-03,  3.8689790328615303e-01,  3.3154901987938060e-03
  4617,  7.5441e+03, -5.9703213137358019e-03, -1.6478107301327750e-03,  5.2108189788613542e-02,  1.6334569120499312e-03, -9.7698052215769329e-04, -3.1393680277551797e-03,  3.8690193625694663e-01,  3.2743652815129319e-03
  4618,  7.5441e+03, -5.9702213137358016e-03, -1.6478107301327750e-03,  5.2108189788613542e-02,  1.6334569120499312e-03, -9.7698052215769329e-04, -3.1393680277551797e-03,  3.8690193625694663e-01,  3.2743652815129319e-03
  4619,  7.5441e+03, -5.9703213137358019e-03, -1.6477107301327749e-03,  5.2108189788613542e-02,  1.6334569120499312e-03, -9.7698052215769329e-04, -3.1393680277551797e-03,  3.8690193625694663e-01,  3.2743652815129319e-03
  4620,  7.5441e+03, -5.9703213137358019e-03, -1.6478107301327750e-03,  5.2108289788613545e-02,  1.6334569120499312e-03, -9.7698052215769329e-04, -3.1393680277551797e-03,  3.8690193625694663e-01,  3.2743652815129319e-03
  4621,  7.5441e+03, -5.9703213137358019e-03, -1.6478107301327750e-03,  5.2108189788613542e-02,  1.6335569120499312e-03, -9.7698052215769329e-04, -3.1393680277551797e-03,  3.8690193625694663e-01,  3.2743652815129319e-03
  4622,  7.5441e+03, -5.9703213137358019e-03, -1.6478107301327750e-03,  5.2108189788613542e-02,  1.6334569120499312e-03, -9.7688052215769323e-04, -3.1393680277551797e-03,  3.8690193625694663e-01,  3.2743652815129319e-03
